iter	Logloss
0	0.6398848419
1	0.6023000486
2	0.5649795794
3	0.5307216986
4	0.4966029797
5	0.4657114305
6	0.437262768
7	0.4114971712
8	0.3879253982
9	0.3700145677
10	0.3499415599
11	0.3259275721
12	0.309228042
13	0.2939711969
14	0.2782228563
15	0.2658128296
16	0.253697145
17	0.2440723189
18	0.2341260569
19	0.221040794
20	0.2114770403
21	0.1995418408
22	0.1914799021
23	0.1832997253
24	0.1778428013
25	0.1727272664
26	0.1682125186
27	0.1610969195
28	0.1530126753
29	0.1481744172
30	0.141978679
31	0.1374541319
32	0.1325816176
33	0.1280846005
34	0.1260166658
35	0.1221646536
36	0.119405819
37	0.1176025635
38	0.1137492035
39	0.1103412619
40	0.1072259165
41	0.1051377241
42	0.1029948282
43	0.1010705858
44	0.09982381918
45	0.09830767329
46	0.09716873436
47	0.0961938744
48	0.09503126943
49	0.09420295979
50	0.09340249201
51	0.09206515361
52	0.0904558168
53	0.08869728124
54	0.08693407052
55	0.08556660911
56	0.08442719509
57	0.08233370712
58	0.08034208659
59	0.07896058987
60	0.07758237296
61	0.07674421559
62	0.07637604635
63	0.07512641766
64	0.07396376794
65	0.07226260176
66	0.07143639657
67	0.07073129652
68	0.06929842096
69	0.06824717923
70	0.06804471366
71	0.0669206561
72	0.06628693764
73	0.06610132826
74	0.06478607998
75	0.06429279503
76	0.06328020005
77	0.0618329917
78	0.06083935204
79	0.05992249414
80	0.05952338904
81	0.05850562904
82	0.05733729798
83	0.05667388208
84	0.05655976492
85	0.05592237304
86	0.05535111411
87	0.05455121028
88	0.05416515381
89	0.05348964437
90	0.05294582845
91	0.05242700722
92	0.05200047059
93	0.05143705498
94	0.05069408145
95	0.05061108417
96	0.04992447916
97	0.04942377771
98	0.04898526565
99	0.04863985035
100	0.04850703193
101	0.04805716293
102	0.04750572785
103	0.04703211303
104	0.04696668116
105	0.04690720477
106	0.04633904464
107	0.04576864371
108	0.04515812938
109	0.04504124552
110	0.04439451005
111	0.04419987871
112	0.04372734837
113	0.04342171288
114	0.04309612976
115	0.04304546827
116	0.04259780256
117	0.04231320025
118	0.04210818664
119	0.04159822706
120	0.04110054932
121	0.04106077699
122	0.04057672035
123	0.04016893108
124	0.03979112244
125	0.03940221223
126	0.03913080517
127	0.03872715763
128	0.03841045169
129	0.03834514091
130	0.03799050275
131	0.0377956968
132	0.03738720094
133	0.03718774893
134	0.03677667235
135	0.036429991
136	0.03613958435
137	0.03610681919
138	0.03592702513
139	0.03569446887
140	0.03540008855
141	0.03532180984
142	0.03505281222
143	0.03489448126
144	0.03454912347
145	0.03434971651
146	0.03402641471
147	0.03371969878
148	0.03337213876
149	0.03327150315
150	0.03294974324
151	0.03279484079
152	0.03263771182
153	0.03234690639
154	0.03217414084
155	0.03176709553
156	0.03174241692
157	0.03159293043
158	0.0313195193
159	0.03109064638
160	0.03085831369
161	0.03049258822
162	0.03022235962
163	0.02993587107
164	0.02974204462
165	0.02954502312
166	0.0294010441
167	0.02926165917
168	0.02891197636
169	0.02874789096
170	0.02840914944
171	0.02809514652
172	0.02779252512
173	0.02747275466
174	0.0271595828
175	0.02688128308
176	0.02675158868
177	0.02651598673
178	0.02622630149
179	0.0259985528
180	0.02582687056
181	0.02554474565
182	0.02531572959
183	0.02510365855
184	0.02492257645
185	0.02471049831
186	0.02446061126
187	0.02425743483
188	0.02400367741
189	0.02377205966
190	0.023583448
191	0.02339634134
192	0.02320847827
193	0.02302727993
194	0.02278544007
195	0.02260265807
196	0.02237695438
197	0.02220192082
198	0.02198322657
199	0.02176836339
200	0.02155756561
201	0.0213904952
202	0.02118554776
203	0.02103052093
204	0.02083570304
205	0.02067954994
206	0.02052412877
207	0.02034553449
208	0.02016047247
209	0.02001606282
210	0.01987098078
211	0.01972697893
212	0.01954274548
213	0.01940301098
214	0.01922935556
215	0.01909806509
216	0.01892506973
217	0.01879787599
218	0.01863275925
219	0.01846727878
220	0.01834083095
221	0.01821465298
222	0.01809345787
223	0.01797014756
224	0.01781886019
225	0.01766906688
226	0.0175503937
227	0.0174048796
228	0.01726776701
229	0.01713269494
230	0.01701909217
231	0.01688195071
232	0.01674667947
233	0.01662187519
234	0.01649737225
235	0.01639073519
236	0.01628651539
237	0.01615977448
238	0.01605863147
239	0.01593501144
240	0.01583687097
241	0.01573593262
242	0.01564237925
243	0.01553100817
244	0.01541385449
245	0.01532068314
246	0.01522814003
247	0.01511500174
248	0.01502426109
249	0.01493836197
250	0.01482967207
251	0.01474292535
252	0.01465422327
253	0.01454847114
254	0.01446834938
255	0.01436474826
256	0.0142660071
257	0.01418526636
258	0.01410371304
259	0.01400755083
260	0.01392898866
261	0.01385377907
262	0.01378010202
263	0.01370418692
264	0.01363193661
265	0.01356025353
266	0.01346907863
267	0.01339638654
268	0.01332346326
269	0.01323498464
270	0.01314711976
271	0.01306360511
272	0.01299463621
273	0.01292627438
274	0.01284535694
275	0.0127623258
276	0.0126804111
277	0.01259926904
278	0.01252207955
279	0.01244267689
280	0.0123643234
