iter	Logloss
0	0.646899876
1	0.6044958915
2	0.5663396882
3	0.5333228835
4	0.5067643811
5	0.4763056044
6	0.445109518
7	0.4199280686
8	0.3969131119
9	0.3758335446
10	0.356463437
11	0.340430275
12	0.317412127
13	0.3023940064
14	0.2860216619
15	0.2693431274
16	0.2580679076
17	0.2440630705
18	0.231378318
19	0.2208290612
20	0.2140071973
21	0.2033921784
22	0.1945626852
23	0.1863688341
24	0.1781379151
25	0.1739725214
26	0.1694925178
27	0.1624101884
28	0.1585561068
29	0.1545364649
30	0.1514305785
31	0.1462209895
32	0.1414485949
33	0.1349799461
34	0.1309734776
35	0.1268043497
36	0.1221599004
37	0.1186189343
38	0.1168203324
39	0.1133500943
40	0.1107420605
41	0.1081396991
42	0.105295283
43	0.1020304743
44	0.1009294929
45	0.09836759079
46	0.09503960018
47	0.0925778244
48	0.09185199389
49	0.08975585593
50	0.08819252222
51	0.08642694329
52	0.08509075122
53	0.08447896813
54	0.08296151003
55	0.08138799753
56	0.07957394888
57	0.07795141066
58	0.07699121441
59	0.07591531949
60	0.0755235372
61	0.07513856652
62	0.07394541385
63	0.07209268521
64	0.07098700634
65	0.07010032845
66	0.06922821355
67	0.06808410214
68	0.06743295769
69	0.06718897761
70	0.0664824198
71	0.06526640548
72	0.06408912325
73	0.06346861842
74	0.06286850518
75	0.0622267498
76	0.06207805341
77	0.06085576798
78	0.05991871922
79	0.05925893907
80	0.05838263245
81	0.05740973925
82	0.05652705702
83	0.05606774322
84	0.05583292672
85	0.05489260421
86	0.05431911705
87	0.05384092814
88	0.05347335797
89	0.05284017948
90	0.05225442565
91	0.05167382155
92	0.05135460019
93	0.05092844774
94	0.05051953483
95	0.05028078957
96	0.05012077179
97	0.05003555612
98	0.04995567339
99	0.0496031772
100	0.04907690297
101	0.04879463575
102	0.04831122433
103	0.04824265378
104	0.04792930475
105	0.04780251706
106	0.04765175779
107	0.04704474384
108	0.04644484721
109	0.04609763468
110	0.0460375802
111	0.0458198302
112	0.04526345706
113	0.04474588189
114	0.04422646967
115	0.04406070509
116	0.04390176
117	0.04382969674
118	0.04333486288
119	0.0428549611
120	0.04260764918
121	0.04228582444
122	0.04173933601
123	0.04169757875
124	0.04133486054
125	0.04105051814
126	0.04075812545
127	0.04048602805
128	0.04044329555
129	0.04038691732
130	0.04034023544
131	0.04005915634
132	0.03986279732
133	0.03962915947
134	0.03944732362
135	0.03917160682
136	0.03912932564
137	0.03888651357
138	0.03870959274
139	0.03865797091
140	0.03848430934
141	0.03830072035
142	0.03787210509
143	0.03764965514
144	0.03732818976
145	0.03700979338
146	0.03678557818
147	0.0364607215
148	0.03628408843
149	0.03593047485
150	0.0356380962
151	0.03536527541
152	0.03505345572
153	0.0346887413
154	0.03439147812
155	0.03423159767
156	0.03373588137
157	0.03347417586
158	0.03330924888
159	0.03314585478
160	0.03290783437
161	0.03275726645
162	0.0326106918
163	0.03248807234
164	0.03234497233
165	0.0321896329
166	0.0317375924
167	0.03129716221
168	0.03113104261
169	0.03086904544
170	0.03072237615
171	0.03058681662
172	0.03045444288
173	0.03020000738
174	0.03007141789
175	0.02984402484
176	0.02971491917
177	0.02958985576
178	0.02919530625
179	0.02880989845
180	0.0284338037
181	0.02830398803
182	0.0281850128
183	0.02806731293
184	0.02794204535
185	0.02758188653
186	0.02746875248
187	0.02736027541
188	0.02725026538
189	0.02713345034
190	0.02678717253
191	0.02668150996
192	0.0265777628
193	0.02624215548
194	0.02591460214
195	0.02559401138
196	0.025280548
197	0.02513893724
198	0.02483599877
199	0.02453874094
200	0.02444745251
201	0.02415846797
202	0.02387587346
203	0.02359884328
204	0.02350900175
205	0.02323837094
206	0.0229739152
207	0.02271426511
208	0.0224597597
209	0.02220996628
210	0.02196609069
211	0.02172604063
212	0.02149191631
213	0.02126149735
214	0.02103551079
215	0.02081389592
216	0.02059641665
217	0.02051950671
218	0.02030733933
219	0.02009868806
